<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHFJPY,20201231,2100,116.718,116.727,116.697,116.697,82750000
CHFJPY,20210103,2200,116.754,116.790,116.633,116.682,237450000
CHFJPY,20210103,2300,116.687,116.952,116.640,116.898,5104650000
CHFJPY,20210104,0000,116.899,116.908,116.537,116.618,6739760000
CHFJPY,20210104,0100,116.617,116.695,116.581,116.629,4183250000
CHFJPY,20210104,0200,116.628,116.659,116.527,116.554,3349070000
CHFJPY,20210104,0300,116.553,116.566,116.446,116.488,2742980000
CHFJPY,20210104,0400,116.486,116.514,116.448,116.490,2384890000
CHFJPY,20210104,0500,116.495,116.592,116.461,116.562,2548550000
CHFJPY,20210104,0600,116.561,116.635,116.498,116.614,2976190000
CHFJPY,20210104,0700,116.612,116.647,116.457,116.555,4855990000
CHFJPY,20210104,0800,116.555,116.805,116.543,116.756,6451960000
CHFJPY,20210104,0900,116.756,116.860,116.744,116.779,5871070000
CHFJPY,20210104,1000,116.780,116.882,116.731,116.860,4447440000
CHFJPY,20210104,1100,116.859,117.007,116.855,116.893,4907700000
CHFJPY,20210104,1200,116.892,117.147,116.866,117.135,5763060000
CHFJPY,20210104,1300,117.137,117.172,117.067,117.135,7300130000
CHFJPY,20210104,1400,117.137,117.203,116.990,117.008,8475310000
CHFJPY,20210104,1500,117.007,117.268,116.931,117.234,10375690000
CHFJPY,20210104,1600,117.231,117.306,117.058,117.093,8307580000
CHFJPY,20210104,1700,117.090,117.122,117.009,117.057,4769900000
CHFJPY,20210104,1800,117.056,117.063,116.985,117.041,3411140000
CHFJPY,20210104,1900,117.043,117.104,117.020,117.079,2687720000
CHFJPY,20210104,2000,117.079,117.080,117.016,117.063,2812060000
CHFJPY,20210104,2100,117.063,117.095,116.919,116.933,1414210000
CHFJPY,20210104,2200,116.922,116.985,116.922,116.970,379260000
CHFJPY,20210104,2300,116.972,117.055,116.968,117.022,2669150000
CHFJPY,20210105,0000,117.022,117.055,116.958,116.998,3217940000
CHFJPY,20210105,0100,116.998,117.042,116.986,116.992,4449060000
CHFJPY,20210105,0200,116.991,117.117,116.974,117.105,3118560000
CHFJPY,20210105,0300,117.103,117.134,117.055,117.071,2853860000
