symbol,adx_min,min_bars,trail,sl_buf,trades,win_pct,pf,ret_pct,max_dd_pct,exp
CHFJPY,18.0,5,2.0,0.1,27,40.74,1.96,2.27,-1.54,84.1645
CHFJPY,18.0,5,2.0,0.2,27,40.74,1.96,2.24,-1.52,83.0830
CHFJPY,18.0,5,2.0,0.4,27,40.74,1.96,2.19,-1.48,81.0123
CHFJPY,18.0,4,2.0,0.1,27,37.04,1.80,2.04,-1.73,75.4686
CHFJPY,18.0,4,2.0,0.2,27,37.04,1.80,2.01,-1.71,74.4997
CHFJPY,18.0,6,2.0,0.1,27,40.74,1.84,1.99,-1.54,73.6550
CHFJPY,18.0,6,2.0,0.2,27,40.74,1.84,1.96,-1.52,72.6781
CHFJPY,18.0,4,2.0,0.4,27,37.04,1.80,1.96,-1.66,72.6455
CHFJPY,18.0,6,2.0,0.4,27,40.74,1.84,1.91,-1.48,70.8105
CHFJPY,18.0,3,2.0,0.1,29,34.48,1.62,1.77,-1.95,60.8791
CHFJPY,18.0,3,2.0,0.2,29,34.48,1.63,1.74,-1.92,60.1089
CHFJPY,18.0,3,2.0,0.4,29,34.48,1.63,1.70,-1.87,58.6356
CHFJPY,20.0,6,2.0,0.1,20,35.00,1.98,1.61,-1.23,80.4593
CHFJPY,20.0,5,2.0,0.1,19,31.58,1.97,1.59,-1.23,83.5738
CHFJPY,20.0,6,2.0,0.2,20,35.00,1.98,1.58,-1.21,79.1332
CHFJPY,20.0,5,2.0,0.2,19,31.58,1.97,1.56,-1.21,82.1861
CHFJPY,18.0,5,2.5,0.1,27,40.74,1.54,1.56,-1.94,57.6288
CHFJPY,20.0,4,2.0,0.1,18,27.78,1.95,1.55,-1.23,86.1025
CHFJPY,18.0,5,2.5,0.2,27,40.74,1.54,1.54,-1.91,56.9054
CHFJPY,20.0,6,2.0,0.4,20,35.00,1.97,1.53,-1.18,76.6104
CHFJPY,20.0,4,2.0,0.2,18,27.78,1.94,1.52,-1.21,84.6550
CHFJPY,20.0,5,2.0,0.4,19,31.58,1.96,1.51,-1.17,79.5465
CHFJPY,18.0,5,2.5,0.4,27,40.74,1.54,1.50,-1.86,55.5193
CHFJPY,20.0,4,2.0,0.4,18,27.78,1.93,1.47,-1.17,81.9028
CHFJPY,22.0,6,2.0,0.1,15,33.33,2.11,1.44,-1.28,95.9821
CHFJPY,22.0,6,2.0,0.2,15,33.33,2.10,1.41,-1.27,94.2594
CHFJPY,22.0,6,2.0,0.4,15,33.33,2.09,1.36,-1.24,90.9874
CHFJPY,18.0,4,2.5,0.1,27,40.74,1.42,1.30,-2.20,48.2894
CHFJPY,18.0,4,2.5,0.2,27,40.74,1.42,1.29,-2.16,47.6968
CHFJPY,20.0,3,2.0,0.1,20,25.00,1.67,1.28,-1.27,63.9493
CHFJPY,18.0,4,2.5,0.4,27,40.74,1.42,1.26,-2.10,46.5617
CHFJPY,20.0,3,2.0,0.2,20,25.00,1.67,1.26,-1.25,62.8370
CHFJPY,0.0,5,2.0,0.1,38,34.21,1.36,1.23,-1.81,32.3821
CHFJPY,0.0,5,2.0,0.2,38,34.21,1.36,1.22,-1.78,32.0115
CHFJPY,20.0,3,2.0,0.4,20,25.00,1.66,1.21,-1.22,60.7250
CHFJPY,0.0,5,2.0,0.4,38,34.21,1.36,1.19,-1.73,31.2988
CHFJPY,0.0,6,2.0,0.1,35,34.29,1.35,1.13,-1.86,32.3600
CHFJPY,18.0,6,2.5,0.1,27,37.04,1.39,1.13,-1.94,41.7026
CHFJPY,0.0,6,2.0,0.2,35,34.29,1.35,1.12,-1.83,31.9692
CHFJPY,22.0,6,2.5,0.1,15,33.33,1.73,1.11,-1.56,74.1925
CHFJPY,18.0,6,2.5,0.2,27,37.04,1.39,1.11,-1.91,41.1318
CHFJPY,0.0,6,2.0,0.4,35,34.29,1.35,1.09,-1.78,31.2202
CHFJPY,22.0,6,2.5,0.2,15,33.33,1.73,1.09,-1.54,72.7821
CHFJPY,18.0,6,2.5,0.4,27,37.04,1.39,1.08,-1.86,40.0421
CHFJPY,20.0,4,2.5,0.1,18,33.33,1.54,1.07,-1.52,59.5721
CHFJPY,20.0,5,2.5,0.1,19,31.58,1.53,1.06,-1.52,55.8959
CHFJPY,20.0,4,2.5,0.2,18,33.33,1.54,1.05,-1.50,58.4779
CHFJPY,22.0,6,2.5,0.4,15,33.33,1.72,1.05,-1.50,70.1050
CHFJPY,20.0,6,2.5,0.1,20,30.00,1.52,1.05,-1.54,52.3669
CHFJPY,20.0,5,2.5,0.2,19,31.58,1.53,1.04,-1.50,54.8638
CHFJPY,20.0,6,2.5,0.2,20,30.00,1.52,1.03,-1.51,51.3917
CHFJPY,20.0,4,2.5,0.4,18,33.33,1.53,1.02,-1.45,56.4008
CHFJPY,20.0,5,2.5,0.4,19,31.58,1.52,1.01,-1.45,52.9046
CHFJPY,20.0,6,2.5,0.4,20,30.00,1.51,0.99,-1.47,49.5408
CHFJPY,18.0,3,2.5,0.1,29,37.93,1.27,0.93,-2.46,32.1334
CHFJPY,18.0,3,2.5,0.2,29,37.93,1.27,0.92,-2.42,31.7598
CHFJPY,18.0,3,2.5,0.4,29,37.93,1.27,0.90,-2.35,31.0448
CHFJPY,0.0,4,2.0,0.1,39,30.77,1.22,0.83,-2.20,21.2083
CHFJPY,0.0,4,2.0,0.2,39,30.77,1.22,0.82,-2.17,20.9732
CHFJPY,0.0,4,2.0,0.4,39,30.77,1.22,0.80,-2.10,20.5216
CHFJPY,0.0,5,2.5,0.1,38,31.58,1.19,0.78,-2.36,20.4916
CHFJPY,0.0,5,2.5,0.2,38,31.58,1.19,0.77,-2.32,20.1755
CHFJPY,0.0,5,2.5,0.4,38,31.58,1.19,0.74,-2.26,19.5762
CHFJPY,20.0,3,2.5,0.1,20,30.00,1.30,0.70,-1.62,35.0601
CHFJPY,20.0,3,2.5,0.2,20,30.00,1.30,0.69,-1.60,34.3337
CHFJPY,22.0,6,3.0,0.1,15,33.33,1.36,0.68,-1.83,45.5501
CHFJPY,22.0,6,3.0,0.2,15,33.33,1.36,0.67,-1.81,44.5348
CHFJPY,20.0,3,2.5,0.4,20,30.00,1.29,0.66,-1.55,32.9600
CHFJPY,22.0,6,3.0,0.4,15,33.33,1.35,0.64,-1.76,42.6142
CHFJPY,18.0,5,3.0,0.1,27,37.04,1.18,0.64,-2.34,23.5893
CHFJPY,18.0,5,3.0,0.2,27,37.04,1.18,0.63,-2.31,23.3097
CHFJPY,18.0,5,3.0,0.4,27,37.04,1.18,0.61,-2.25,22.7754
CHFJPY,0.0,6,2.5,0.1,35,31.43,1.15,0.60,-2.52,17.2166
CHFJPY,0.0,6,2.5,0.2,35,31.43,1.15,0.59,-2.48,16.8855
CHFJPY,0.0,6,2.5,0.4,35,31.43,1.15,0.57,-2.41,16.2626
CHFJPY,20.0,4,3.0,0.1,18,33.33,1.22,0.53,-1.80,29.5921
CHFJPY,20.0,4,3.0,0.2,18,33.33,1.22,0.52,-1.77,28.9077
CHFJPY,20.0,4,3.0,0.4,18,33.33,1.21,0.50,-1.72,27.6161
CHFJPY,20.0,5,3.0,0.1,19,31.58,1.19,0.47,-1.85,24.9758
CHFJPY,20.0,5,3.0,0.2,19,31.58,1.19,0.46,-1.83,24.3522
CHFJPY,20.0,5,1.5,0.1,19,42.11,1.35,0.45,-0.65,23.7231
CHFJPY,20.0,6,1.5,0.1,20,40.00,1.34,0.45,-0.65,22.4582
CHFJPY,20.0,5,1.5,0.2,19,42.11,1.35,0.45,-0.64,23.4706
CHFJPY,20.0,6,1.5,0.2,20,40.00,1.34,0.44,-0.64,22.2189
CHFJPY,20.0,5,3.0,0.4,19,31.58,1.18,0.44,-1.78,23.1770
CHFJPY,20.0,5,1.5,0.4,19,42.11,1.35,0.44,-0.63,22.9834
CHFJPY,20.0,6,1.5,0.4,20,40.00,1.35,0.44,-0.63,21.7572
CHFJPY,20.0,6,3.0,0.1,20,30.00,1.17,0.43,-1.85,21.3336
CHFJPY,20.0,6,3.0,0.2,20,30.00,1.16,0.42,-1.83,20.7583
CHFJPY,20.0,6,3.0,0.4,20,30.00,1.16,0.39,-1.78,19.6753
CHFJPY,18.0,4,3.0,0.1,27,37.04,1.10,0.37,-2.66,13.6357
CHFJPY,20.0,4,1.5,0.1,18,38.89,1.28,0.37,-0.65,20.2949
CHFJPY,18.0,4,3.0,0.2,27,37.04,1.10,0.36,-2.62,13.5042
CHFJPY,20.0,4,1.5,0.2,18,38.89,1.28,0.36,-0.64,20.0665
CHFJPY,18.0,4,3.0,0.4,27,37.04,1.10,0.36,-2.55,13.2537
CHFJPY,20.0,4,1.5,0.4,18,38.89,1.28,0.35,-0.63,19.6265
CHFJPY,0.0,4,2.5,0.1,39,30.77,1.07,0.32,-2.80,8.1848
CHFJPY,0.0,4,2.5,0.2,39,30.77,1.07,0.31,-2.76,8.0269
CHFJPY,0.0,4,2.5,0.4,39,30.77,1.07,0.30,-2.69,7.7318
CHFJPY,18.0,6,3.0,0.1,27,33.33,1.06,0.21,-2.57,7.7257
CHFJPY,18.0,6,3.0,0.2,27,33.33,1.06,0.21,-2.54,7.5933
CHFJPY,20.0,3,1.5,0.1,20,40.00,1.14,0.20,-0.83,10.1190
CHFJPY,20.0,3,1.5,0.2,20,40.00,1.14,0.20,-0.82,10.0274
CHFJPY,18.0,6,3.0,0.4,27,33.33,1.06,0.20,-2.47,7.3451
CHFJPY,20.0,3,1.5,0.4,20,40.00,1.14,0.20,-0.79,9.8503
CHFJPY,0.0,3,2.0,0.4,43,27.91,1.04,0.18,-2.66,4.2943
CHFJPY,0.0,3,2.0,0.2,43,27.91,1.04,0.18,-2.74,4.2352
CHFJPY,0.0,3,2.0,0.1,43,27.91,1.04,0.18,-2.78,4.2021
CHFJPY,18.0,5,1.5,0.4,27,44.44,1.09,0.17,-1.24,6.3733
CHFJPY,18.0,5,1.5,0.2,27,44.44,1.09,0.17,-1.27,6.2900
CHFJPY,18.0,5,1.5,0.1,27,44.44,1.08,0.17,-1.29,6.2428
CHFJPY,18.0,6,1.5,0.4,27,40.74,1.07,0.14,-1.24,5.3537
CHFJPY,18.0,6,1.5,0.2,27,40.74,1.07,0.14,-1.27,5.2513
CHFJPY,18.0,6,1.5,0.1,27,40.74,1.07,0.14,-1.29,5.1943
