symbol,adx_min,min_bars,trail,sl_buf,trades,win_pct,pf,ret_pct,max_dd_pct,exp
USDJPY,25.0,3,3.0,0.1,15,46.67,2.27,2.41,-1.65,160.3955
USDJPY,25.0,3,3.0,0.2,15,46.67,2.28,2.39,-1.62,159.5447
USDJPY,25.0,3,3.0,0.4,15,46.67,2.32,2.37,-1.55,157.7929
USDJPY,25.0,3,2.5,0.1,15,46.67,2.13,1.89,-1.40,126.2899
USDJPY,25.0,3,2.5,0.2,15,46.67,2.15,1.89,-1.37,125.9808
USDJPY,25.0,3,2.5,0.4,15,46.67,2.19,1.88,-1.32,125.2742
USDJPY,22.0,3,3.0,0.1,18,38.89,1.67,1.73,-1.88,95.8373
USDJPY,22.0,3,3.0,0.2,18,38.89,1.68,1.72,-1.85,95.5680
USDJPY,22.0,3,3.0,0.4,18,38.89,1.70,1.71,-1.78,94.9568
USDJPY,20.0,4,3.0,0.1,21,33.33,1.51,1.55,-1.92,73.7011
USDJPY,20.0,4,3.0,0.2,21,33.33,1.52,1.54,-1.89,73.4662
USDJPY,25.0,3,2.0,0.1,15,46.67,2.19,1.53,-1.25,102.1460
USDJPY,20.0,4,3.0,0.4,21,33.33,1.53,1.53,-1.82,72.9382
USDJPY,25.0,3,2.0,0.2,15,46.67,2.21,1.52,-1.22,101.6097
USDJPY,25.0,3,2.0,0.4,15,46.67,2.24,1.51,-1.18,100.4969
USDJPY,20.0,3,3.0,0.1,20,35.00,1.52,1.47,-1.92,73.6887
USDJPY,20.0,3,3.0,0.2,20,35.00,1.53,1.47,-1.89,73.5165
USDJPY,20.0,3,3.0,0.4,20,35.00,1.54,1.46,-1.82,73.1048
USDJPY,22.0,3,2.5,0.4,18,38.89,1.63,1.33,-1.45,74.0749
USDJPY,22.0,3,2.5,0.2,18,38.89,1.61,1.33,-1.50,73.9688
USDJPY,22.0,3,2.5,0.1,18,38.89,1.60,1.33,-1.53,73.8666
USDJPY,22.0,4,3.0,0.2,17,35.29,1.51,1.29,-1.85,75.7838
USDJPY,22.0,4,3.0,0.1,17,35.29,1.50,1.29,-1.88,75.7582
USDJPY,22.0,4,3.0,0.4,17,35.29,1.53,1.29,-1.78,75.7367
USDJPY,18.0,4,3.0,0.1,24,29.17,1.34,1.16,-1.99,48.3551
USDJPY,18.0,4,3.0,0.2,24,29.17,1.35,1.16,-1.95,48.3058
USDJPY,18.0,4,3.0,0.4,24,29.17,1.35,1.16,-1.88,48.1474
USDJPY,20.0,3,2.5,0.4,20,35.00,1.50,1.15,-1.45,57.4527
USDJPY,20.0,3,2.5,0.2,20,35.00,1.48,1.15,-1.51,57.2594
USDJPY,20.0,3,2.5,0.1,20,35.00,1.47,1.14,-1.54,57.1177
