<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAGUSD,20151231,2145,13.817,13.818,13.815,13.818,45000
XAGUSD,20160103,2300,13.813,13.868,13.812,13.854,8580700
XAGUSD,20160103,2315,13.852,13.857,13.840,13.853,10531000
XAGUSD,20160103,2330,13.853,13.863,13.850,13.858,7434200
XAGUSD,20160103,2345,13.859,13.884,13.859,13.881,8364700
XAGUSD,20160104,0000,13.882,13.900,13.876,13.899,10686200
XAGUSD,20160104,0015,13.900,13.945,13.893,13.915,35301100
XAGUSD,20160104,0030,13.917,13.917,13.866,13.891,20140600
XAGUSD,20160104,0045,13.892,13.909,13.890,13.904,5799900
XAGUSD,20160104,0100,13.907,13.917,13.865,13.881,9683900
XAGUSD,20160104,0115,13.878,13.878,13.841,13.869,4181700
XAGUSD,20160104,0130,13.865,13.900,13.851,13.853,4807400
XAGUSD,20160104,0145,13.852,13.871,13.850,13.870,8113900
XAGUSD,20160104,0200,13.864,13.879,13.857,13.869,3463700
XAGUSD,20160104,0215,13.869,13.887,13.861,13.887,3877100
XAGUSD,20160104,0230,13.884,13.884,13.862,13.882,4993900
XAGUSD,20160104,0245,13.876,13.884,13.862,13.869,5161700
XAGUSD,20160104,0300,13.870,13.884,13.864,13.878,5347800
XAGUSD,20160104,0315,13.880,13.888,13.870,13.886,4918000
XAGUSD,20160104,0330,13.884,13.886,13.871,13.875,7974700
XAGUSD,20160104,0345,13.874,13.883,13.854,13.858,9859200
XAGUSD,20160104,0400,13.851,13.874,13.844,13.872,9886500
XAGUSD,20160104,0415,13.873,13.879,13.833,13.840,5992900
XAGUSD,20160104,0430,13.842,13.884,13.839,13.872,6186700
XAGUSD,20160104,0445,13.881,13.897,13.878,13.893,3029300
XAGUSD,20160104,0500,13.892,13.899,13.880,13.897,4591100
XAGUSD,20160104,0515,13.895,13.918,13.892,13.915,2387200
XAGUSD,20160104,0530,13.912,13.945,13.893,13.938,6380200
XAGUSD,20160104,0545,13.939,13.948,13.930,13.934,5778500
XAGUSD,20160104,0600,13.936,13.945,13.913,13.913,4204000
XAGUSD,20160104,0615,13.915,13.952,13.910,13.941,8948900
XAGUSD,20160104,0630,13.945,13.955,13.939,13.946,3661500
XAGUSD,20160104,0645,13.950,14.015,13.934,13.982,21376900
XAGUSD,20160104,0700,13.982,13.990,13.964,13.983,8776000
