symbol,direction,entry_time,entry_price,exit_time,exit_price,qty,pnl,r_multiple,bars_held,setup_w1,setup_w3,reason
USDJPY,short,2014-02-05 03:00:00+00:00,101.5626,2014-02-07 12:00:00+00:00,102.271,141.163184641446,-100.0,-1.0,57,1.5989999999999895,2.179000000000002,sl
USDJPY,short,2014-03-18 07:00:00+00:00,101.7936,2014-03-19 18:00:00+00:00,102.306,195.16003122560517,-100.0,-1.0,35,0.9000000000000057,2.2190000000000083,sl
USDJPY,long,2014-04-01 02:00:00+00:00,103.0026,2014-04-01 14:00:00+00:00,103.60800000000002,263.08866087871695,159.2738752959798,1.592738752959798,12,0.7140000000000128,1.445999999999998,tp
USDJPY,short,2014-04-09 16:00:00+00:00,102.0372,2014-04-17 19:00:00+00:00,102.46350000000001,234.57658925638566,-100.0,-1.0,147,1.117999999999995,1.7540000000000049,sl
USDJPY,long,2014-06-03 15:00:00+00:00,102.3132,2014-06-04 01:00:00+00:00,102.633,677.0480704130626,216.51997291809795,2.1651997291809795,10,0.36199999999999477,0.9939999999999998,tp
USDJPY,short,2014-06-12 14:00:00+00:00,102.08619999999999,2014-06-12 15:00:00+00:00,101.868,512.032770097278,111.72555043522398,1.1172555043522399,1,0.2740000000000009,0.730000000000004,tp
USDJPY,short,2014-06-30 23:00:00+00:00,101.4162,2014-07-01 09:00:00+00:00,101.57300000000001,637.7551020407999,-100.0,-1.0,10,0.5420000000000016,0.6810000000000116,sl
USDJPY,long,2014-07-06 21:00:00+00:00,102.0308,2014-07-07 12:00:00+00:00,101.82499999999999,485.90864917393014,-100.0,-1.0,15,0.3960000000000008,0.8560000000000088,sl
USDJPY,short,2014-07-08 14:00:00+00:00,101.8254,2014-07-08 15:00:00+00:00,101.56599999999999,825.7638315441891,214.2031379025739,2.142031379025739,1,0.29400000000001114,0.5139999999999958,tp
USDJPY,long,2014-07-25 08:00:00+00:00,101.7436,2014-07-29 04:00:00+00:00,101.98200000000001,999.0009990010226,238.1618381618566,2.381618381618566,44,0.2670000000000101,0.4420000000000073,tp
USDJPY,long,2014-07-31 13:00:00+00:00,102.796,2014-08-01 12:00:00+00:00,103.007,396.82539682540414,83.73015873015969,0.8373015873015969,23,0.28300000000000125,1.2270000000000039,tp
USDJPY,long,2014-09-04 07:00:00+00:00,104.8546,2014-09-04 11:00:00+00:00,105.071,251.5090543259486,54.426559356133524,0.5442655935613353,4,0.3299999999999983,1.6550000000000011,tp
USDJPY,long,2014-10-26 22:00:00+00:00,107.8968,2014-10-31 04:00:00+00:00,109.67,251.06703489832296,445.19206628170696,4.45192066281707,102,1.8870000000000005,2.100999999999999,tp
USDJPY,long,2014-10-31 04:00:00+00:00,108.9064,2014-10-31 05:00:00+00:00,109.337,256.4760194921793,110.43857399333199,1.1043857399333197,1,0.5420000000000016,1.4110000000000014,tp
USDJPY,long,2014-11-05 01:00:00+00:00,113.375,2014-11-05 09:00:00+00:00,114.57600000000001,136.05442176871023,163.40136054422203,1.63401360544222,8,1.4110000000000014,5.420000000000002,tp
USDJPY,long,2014-11-17 00:00:00+00:00,116.2042,2014-11-17 02:00:00+00:00,115.661,184.0942562592051,-100.0,-1.0,2,0.9969999999999999,1.5160000000000053,sl
USDJPY,long,2014-11-24 05:00:00+00:00,117.67960000000001,2014-12-01 00:00:00+00:00,118.94800000000001,88.0204207376112,111.64510166358603,1.1164510166358603,115,1.5930000000000035,2.6439999999999912,tp
USDJPY,long,2014-12-04 15:00:00+00:00,119.7218,2014-12-04 16:00:00+00:00,119.495,440.9171075837796,-100.0,-1.0,1,1.9070000000000107,2.120999999999995,sl
USDJPY,long,2015-02-10 09:00:00+00:00,118.5098,2015-02-10 10:00:00+00:00,118.907,160.69419893941574,63.82773581873561,0.6382773581873561,1,0.5750000000000028,2.0490000000000066,tp
USDJPY,long,2015-02-27 11:00:00+00:00,119.1918,2015-02-27 16:00:00+00:00,119.57900000000001,367.24201248622666,142.19610723466957,1.4219610723466956,5,0.4650000000000034,0.8239999999999981,tp
USDJPY,long,2015-03-09 16:00:00+00:00,120.7456,2015-03-10 01:00:00+00:00,121.627,213.85799828913397,188.49443969204253,1.8849443969204254,9,1.0150000000000006,1.3829999999999956,tp
USDJPY,long,2015-05-22 12:00:00+00:00,120.8068,2015-05-25 00:00:00+00:00,121.68,170.27073046143397,148.68040183892606,1.4868040183892606,12,1.041000000000011,2.2919999999999874,tp
USDJPY,long,2015-05-27 10:00:00+00:00,122.8856,2015-05-27 17:00:00+00:00,123.914,263.08866087872684,270.560378847684,2.7056037884768394,7,1.1370000000000005,1.8739999999999952,tp
USDJPY,short,2015-06-10 05:00:00+00:00,124.468,2015-06-10 06:00:00+00:00,123.76,187.9699248120313,133.08270676691788,1.3308270676691787,1,0.8599999999999994,1.7339999999999947,tp
USDJPY,short,2015-06-29 17:00:00+00:00,122.975,2015-06-30 08:00:00+00:00,122.04199999999999,131.6655694535874,122.84397630019797,1.2284397630019797,15,1.1500000000000057,1.8829999999999956,tp
USDJPY,long,2015-07-31 08:00:00+00:00,124.0412,2015-07-31 13:00:00+00:00,123.56800000000001,211.32713440406133,-100.0,-1.0,5,0.7830000000000013,1.25,sl
USDJPY,long,2015-08-06 08:00:00+00:00,124.682,2015-08-07 12:00:00+00:00,124.39499999999998,348.4320557491042,-100.0,-1.0,28,0.6770000000000067,0.9909999999999997,sl
USDJPY,short,2015-08-25 20:00:00+00:00,119.55160000000001,2015-08-25 21:00:00+00:00,119.61600000000001,33.91670058336734,-2.1842355175690678,-0.021842355175690678,1,0.7779999999999916,7.974000000000004,tp
USDJPY,short,2015-09-07 21:00:00+00:00,119.4204,2015-09-08 07:00:00+00:00,120.14699999999999,137.62730525736484,-100.0,-1.0,10,1.0520000000000067,1.8029999999999973,sl
USDJPY,long,2015-10-23 12:00:00+00:00,120.3786,2015-10-23 13:00:00+00:00,120.85,188.46588767433357,88.84281944967867,0.8884281944967868,1,0.6229999999999905,1.3700000000000045,tp
USDJPY,long,2015-11-05 08:00:00+00:00,121.3656,2015-11-05 09:00:00+00:00,121.868,326.15786040444755,163.86170906719263,1.6386170906719264,1,0.5899999999999892,1.1189999999999998,tp
USDJPY,long,2015-11-10 07:00:00+00:00,123.1012,2015-11-12 17:00:00+00:00,122.663,228.20629849383374,-100.0,-1.0,58,0.722999999999999,2.0829999999999984,sl
USDJPY,short,2015-12-10 13:00:00+00:00,121.7094,2015-12-11 14:00:00+00:00,121.113,180.147721131329,107.4401008827251,1.074401008827251,25,0.7549999999999955,2.0120000000000005,tp
USDJPY,long,2015-12-16 21:00:00+00:00,121.523,2015-12-16 22:00:00+00:00,122.21499999999999,195.6947162426631,135.4207436399215,1.3542074363992151,1,0.8379999999999939,1.5330000000000013,tp
USDJPY,short,2015-12-28 16:00:00+00:00,120.51039999999999,2016-01-04 01:00:00+00:00,120.04299999999999,238.89154323936245,111.65790731007749,1.1165790731007748,61,0.5870000000000033,1.1000000000000085,tp
USDJPY,short,2016-01-08 00:00:00+00:00,118.0896,2016-01-08 13:00:00+00:00,118.756,150.06002400960477,-100.0,-1.0,13,1.9500000000000028,2.3659999999999997,sl
