<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NAS100,20201231,2100,12882.90,12882.90,12881.60,12882.10,26
NAS100,20210103,2300,12900.70,12906.40,12855.10,12866.40,5283
NAS100,20210104,0000,12867.10,12868.60,12827.60,12836.70,6447
NAS100,20210104,0100,12835.60,12855.40,12835.60,12852.90,6256
NAS100,20210104,0200,12853.00,12868.00,12852.90,12861.20,4499
NAS100,20210104,0300,12861.40,12875.70,12858.10,12872.90,3133
NAS100,20210104,0400,12873.00,12879.60,12872.90,12876.50,2276
NAS100,20210104,0500,12876.70,12877.40,12860.20,12870.20,3321
NAS100,20210104,0600,12870.40,12897.20,12870.40,12892.90,3336
NAS100,20210104,0700,12893.00,12934.40,12893.00,12934.40,4698
NAS100,20210104,0800,12934.10,12954.90,12924.90,12934.60,6364
NAS100,20210104,0900,12933.70,12961.70,12933.60,12950.70,4631
NAS100,20210104,1000,12951.00,12954.90,12934.50,12941.90,3304
NAS100,20210104,1100,12941.70,12951.50,12939.40,12942.60,2836
NAS100,20210104,1200,12942.10,12954.90,12936.40,12954.60,2849
NAS100,20210104,1300,12954.00,12955.60,12940.40,12943.60,3943
NAS100,20210104,1400,12943.70,12945.70,12861.50,12881.70,11510
NAS100,20210104,1500,12886.90,12893.70,12768.00,12768.00,17129
NAS100,20210104,1600,12769.10,12788.60,12642.40,12643.10,17613
NAS100,20210104,1700,12643.60,12656.40,12529.20,12603.60,17424
NAS100,20210104,1800,12602.00,12685.50,12591.60,12682.10,13325
NAS100,20210104,1900,12682.00,12685.00,12615.60,12673.20,13969
NAS100,20210104,2000,12672.10,12716.50,12639.80,12701.50,14921
NAS100,20210104,2100,12699.70,12706.70,12679.20,12697.00,3196
NAS100,20210104,2300,12694.00,12695.10,12668.10,12682.70,3725
NAS100,20210105,0000,12682.60,12704.70,12678.70,12701.20,4390
NAS100,20210105,0100,12701.10,12729.60,12700.30,12720.50,4850
NAS100,20210105,0200,12720.60,12731.30,12716.80,12726.60,3491
NAS100,20210105,0300,12726.70,12734.70,12685.70,12696.20,3890
NAS100,20210105,0400,12695.80,12700.50,12669.70,12684.00,3907
NAS100,20210105,0500,12683.70,12702.60,12681.30,12699.50,4267
NAS100,20210105,0600,12699.70,12718.50,12698.60,12715.70,4629
NAS100,20210105,0700,12716.30,12717.60,12648.20,12657.10,6370
NAS100,20210105,0800,12658.00,12723.00,12655.60,12702.00,8817
NAS100,20210105,0900,12699.00,12724.20,12694.50,12710.00,5185
NAS100,20210105,1000,12710.20,12721.80,12706.00,12711.70,3765
NAS100,20210105,1100,12713.00,12732.70,12685.00,12697.50,4747
NAS100,20210105,1200,12699.20,12702.00,12660.60,12689.20,7098
NAS100,20210105,1300,12689.10,12691.20,12620.70,12620.70,7812
NAS100,20210105,1400,12620.50,12776.60,12619.10,12758.30,12749
NAS100,20210105,1500,12769.00,12790.10,12723.10,12724.40,16105
NAS100,20210105,1600,12725.90,12755.30,12698.60,12739.80,12954
NAS100,20210105,1700,12741.20,12751.30,12712.20,12738.10,11068
NAS100,20210105,1800,12738.70,12767.10,12733.10,12761.90,8180
NAS100,20210105,1900,12762.40,12811.90,12761.60,12784.10,9784
NAS100,20210105,2000,12784.20,12808.20,12762.90,12800.20,11930
NAS100,20210105,2100,12800.40,12816.90,12796.60,12812.30,2849
NAS100,20210105,2300,12812.70,12815.70,12790.70,12803.40,2858
NAS100,20210106,0000,12803.70,12852.20,12774.10,12786.20,7157
NAS100,20210106,0100,12788.20,12800.30,12676.10,12727.20,10497
NAS100,20210106,0200,12728.60,12746.40,12635.70,12653.80,9102
NAS100,20210106,0300,12653.40,12666.80,12612.40,12631.10,7521
NAS100,20210106,0400,12630.60,12656.40,12586.20,12620.70,7057
NAS100,20210106,0500,12620.80,12647.20,12609.70,12619.60,4338
NAS100,20210106,0600,12619.70,12674.80,12614.80,12639.60,5026
NAS100,20210106,0700,12637.40,12671.20,12570.90,12581.10,8261
NAS100,20210106,0800,12579.20,12605.60,12500.10,12526.80,11037
NAS100,20210106,0900,12525.40,12600.60,12525.30,12590.60,7360
NAS100,20210106,1000,12589.90,12592.10,12531.40,12548.30,7521
NAS100,20210106,1100,12549.20,12586.60,12510.40,12582.10,6536
NAS100,20210106,1200,12582.60,12639.90,12582.60,12597.70,7663
NAS100,20210106,1300,12597.90,12652.10,12565.40,12580.40,8037
NAS100,20210106,1400,12579.70,12676.80,12561.90,12644.10,15080
NAS100,20210106,1500,12645.30,12779.60,12623.10,12745.90,15936
NAS100,20210106,1600,12747.00,12798.10,12737.90,12763.50,13528
NAS100,20210106,1700,12765.00,12807.90,12761.50,12778.40,11620
NAS100,20210106,1800,12778.30,12805.60,12756.30,12781.80,11269
NAS100,20210106,1900,12783.00,12795.60,12649.30,12695.30,16586
NAS100,20210106,2000,12694.40,12712.10,12606.20,12630.30,17887
NAS100,20210106,2100,12630.80,12678.20,12601.10,12668.20,4849
NAS100,20210106,2200,12667.80,12674.90,12667.80,12668.30,145
NAS100,20210106,2300,12672.00,12687.40,12656.30,12682.50,3240
NAS100,20210107,0000,12683.30,12708.80,12666.30,12708.10,4261
NAS100,20210107,0100,12708.30,12747.50,12706.40,12746.90,5270
NAS100,20210107,0200,12746.40,12751.10,12722.40,12733.50,4746
NAS100,20210107,0300,12733.80,12744.60,12715.90,12725.40,3225
NAS100,20210107,0400,12726.00,12733.40,12706.50,12709.30,2937
NAS100,20210107,0500,12709.40,12722.80,12702.10,12719.30,4231
NAS100,20210107,0600,12718.80,12751.80,12717.80,12750.60,3252
NAS100,20210107,0700,12750.80,12771.40,12708.30,12719.10,5961
NAS100,20210107,0800,12716.90,12725.90,12669.90,12697.40,8542
NAS100,20210107,0900,12697.60,12726.40,12682.90,12696.30,7377
NAS100,20210107,1000,12696.10,12720.10,12679.90,12682.00,6516
NAS100,20210107,1100,12682.90,12708.30,12672.10,12696.00,5953
NAS100,20210107,1200,12696.10,12734.40,12694.10,12724.00,6071
NAS100,20210107,1300,12724.60,12737.00,12714.30,12719.80,5303
NAS100,20210107,1400,12719.50,12848.40,12719.40,12848.30,11544
NAS100,20210107,1500,12852.00,12916.40,12843.00,12910.30,14816
NAS100,20210107,1600,12910.10,12930.20,12885.70,12901.60,12134
NAS100,20210107,1700,12901.80,12910.60,12878.40,12903.60,10173
NAS100,20210107,1800,12903.70,12927.30,12879.10,12922.60,9680
NAS100,20210107,1900,12923.80,12931.60,12912.70,12927.30,8913
NAS100,20210107,2000,12928.20,12968.30,12924.80,12934.80,11209
NAS100,20210107,2100,12933.60,12949.10,12929.40,12935.20,3623
NAS100,20210107,2300,12939.50,12953.10,12928.10,12947.70,3083
NAS100,20210108,0000,12949.30,12966.00,12941.10,12961.30,4060
NAS100,20210108,0100,12961.20,12983.00,12949.10,12973.20,4306
NAS100,20210108,0200,12973.20,12986.60,12961.80,12967.30,3844
NAS100,20210108,0300,12967.20,12977.00,12958.20,12975.20,2856
NAS100,20210108,0400,12975.20,12976.50,12955.30,12966.30,3263
NAS100,20210108,0500,12966.50,12979.70,12965.10,12976.30,3138
