<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NAS100,20251231,2100,25248.74,25250.29,25248.27,25249.53,3234
NAS100,20260101,2300,25284.24,25303.70,25251.24,25297.96,141430
NAS100,20260102,0000,25297.39,25315.01,25275.38,25311.81,118360
NAS100,20260102,0100,25312.97,25357.70,25311.67,25356.42,173272
NAS100,20260102,0200,25356.65,25408.38,25356.32,25404.95,139898
NAS100,20260102,0300,25404.02,25425.42,25394.80,25424.71,101596
NAS100,20260102,0400,25424.82,25436.58,25417.25,25425.05,80982
NAS100,20260102,0500,25425.50,25442.57,25412.60,25438.74,87472
NAS100,20260102,0600,25438.59,25448.95,25434.01,25436.89,73546
NAS100,20260102,0700,25436.10,25446.84,25423.54,25436.33,228413
NAS100,20260102,0800,25436.09,25516.60,25435.91,25508.10,411435
NAS100,20260102,0900,25508.15,25536.72,25503.66,25530.84,386640
NAS100,20260102,1000,25532.00,25534.66,25505.16,25527.89,304785
NAS100,20260102,1100,25528.00,25540.06,25511.41,25524.39,250065
NAS100,20260102,1200,25524.57,25524.57,25477.88,25500.00,359460
NAS100,20260102,1300,25500.20,25510.29,25482.13,25494.76,724765
NAS100,20260102,1400,25494.62,25602.78,25437.70,25535.88,2043120
NAS100,20260102,1500,25535.85,25582.08,25169.71,25184.04,2768860
NAS100,20260102,1600,25183.86,25237.05,25105.23,25155.30,2690130
NAS100,20260102,1700,25155.13,25217.13,25127.99,25139.54,2161570
NAS100,20260102,1800,25139.61,25178.46,25081.76,25110.94,1925360
NAS100,20260102,1900,25111.14,25268.69,25105.16,25213.61,2008530
NAS100,20260102,2000,25213.72,25263.26,25182.47,25199.45,1921360
NAS100,20260102,2100,25200.45,25229.33,25196.21,25211.41,77060
NAS100,20260104,2300,25251.30,25280.90,25225.01,25275.56,243092
NAS100,20260105,0000,25275.39,25297.19,25252.73,25285.52,305756
NAS100,20260105,0100,25285.65,25305.08,25268.41,25276.06,301136
NAS100,20260105,0200,25275.85,25301.42,25271.37,25292.28,186648
NAS100,20260105,0300,25292.16,25300.53,25276.37,25282.28,138622
NAS100,20260105,0400,25282.07,25309.28,25275.56,25305.60,112376
NAS100,20260105,0500,25306.75,25314.87,25283.83,25313.08,129602
NAS100,20260105,0600,25312.90,25324.89,25286.71,25323.81,135652
NAS100,20260105,0700,25324.90,25326.58,25273.25,25295.54,313547
NAS100,20260105,0800,25295.81,25373.65,25285.59,25329.52,605250
NAS100,20260105,0900,25329.28,25349.90,25313.60,25329.64,463365
NAS100,20260105,1000,25329.85,25376.52,25328.75,25372.26,370530
NAS100,20260105,1100,25371.81,25395.28,25362.09,25385.84,307980
NAS100,20260105,1200,25385.50,25404.32,25362.67,25375.06,365490
NAS100,20260105,1300,25378.53,25408.28,25338.15,25393.70,993195
NAS100,20260105,1400,25393.58,25490.26,25358.35,25407.35,2203860
NAS100,20260105,1500,25406.54,25504.57,25382.95,25478.79,2491200
NAS100,20260105,1600,25478.62,25521.39,25465.60,25472.58,1856280
NAS100,20260105,1700,25472.35,25486.67,25422.36,25441.43,1897290
NAS100,20260105,1800,25441.56,25446.39,25372.29,25427.13,1532532
NAS100,20260105,1900,25427.25,25432.72,25365.00,25391.47,1424470
NAS100,20260105,2000,25391.56,25427.12,25380.78,25401.80,1463820
NAS100,20260105,2100,25402.18,25405.12,25387.86,25393.90,51268
NAS100,20260105,2300,25402.47,25414.58,25378.39,25383.10,124805
