<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPX500,20241231,2100,5886.90,5888.80,5886.90,5888.00,35
SPX500,20250101,2300,5898.90,5905.80,5884.20,5889.50,1623
SPX500,20250102,0000,5889.70,5889.80,5861.30,5885.00,3260
SPX500,20250102,0100,5885.30,5901.00,5885.30,5897.30,2963
SPX500,20250102,0200,5897.00,5908.50,5896.30,5906.20,1520
SPX500,20250102,0300,5906.00,5910.00,5900.80,5902.80,1053
SPX500,20250102,0400,5903.80,5907.30,5898.20,5905.30,943
SPX500,20250102,0500,5905.50,5915.80,5904.30,5914.30,1150
SPX500,20250102,0600,5914.40,5918.30,5912.80,5917.30,888
SPX500,20250102,0700,5917.30,5919.80,5911.50,5911.90,1413
SPX500,20250102,0800,5913.80,5925.30,5903.70,5914.80,4630
SPX500,20250102,0900,5914.50,5922.70,5910.80,5922.50,3614
SPX500,20250102,1000,5922.80,5924.30,5914.00,5922.50,2182
SPX500,20250102,1100,5922.70,5940.00,5916.90,5939.80,1922
SPX500,20250102,1200,5940.00,5945.50,5926.50,5934.00,2698
SPX500,20250102,1300,5933.80,5938.30,5925.50,5928.30,3192
SPX500,20250102,1400,5928.80,5929.00,5885.00,5925.00,8590
SPX500,20250102,1500,5927.30,5935.30,5886.00,5898.30,10429
SPX500,20250102,1600,5898.50,5911.40,5874.80,5902.80,8110
SPX500,20250102,1700,5902.50,5910.50,5831.30,5850.30,9251
SPX500,20250102,1800,5850.80,5854.10,5827.60,5841.80,8250
SPX500,20250102,1900,5841.60,5863.60,5836.60,5845.30,6860
SPX500,20250102,2000,5846.50,5876.60,5845.10,5869.80,7413
SPX500,20250102,2100,5869.60,5876.80,5869.30,5872.00,1271
SPX500,20250102,2300,5874.00,5874.30,5864.80,5868.20,884
SPX500,20250103,0000,5867.70,5882.80,5866.80,5882.80,1111
SPX500,20250103,0100,5882.50,5885.00,5876.30,5879.20,1042
SPX500,20250103,0200,5879.20,5886.80,5879.00,5883.80,901
