<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPX500,20221230,2100,3844.30,3844.30,3844.20,3844.20,4
SPX500,20230102,2300,3873.80,3876.10,3845.60,3848.10,2542
SPX500,20230103,0000,3847.80,3848.30,3832.80,3833.30,1526
SPX500,20230103,0100,3833.60,3833.60,3819.60,3830.10,2783
SPX500,20230103,0200,3829.60,3840.10,3827.60,3838.10,1722
SPX500,20230103,0300,3838.30,3844.30,3836.60,3843.30,1301
SPX500,20230103,0400,3843.60,3844.20,3840.30,3840.80,781
SPX500,20230103,0500,3840.60,3850.10,3840.60,3848.30,1286
SPX500,20230103,0600,3848.10,3850.80,3843.10,3847.10,1536
SPX500,20230103,0700,3846.60,3858.60,3842.30,3858.30,2413
SPX500,20230103,0800,3857.60,3873.60,3854.30,3871.80,4736
SPX500,20230103,0900,3872.70,3882.80,3871.30,3882.80,3392
SPX500,20230103,1000,3882.60,3883.30,3869.80,3873.80,1964
SPX500,20230103,1100,3874.00,3875.20,3849.10,3853.80,2417
SPX500,20230103,1200,3853.60,3858.30,3847.10,3856.60,2294
SPX500,20230103,1300,3856.30,3863.10,3847.80,3860.60,2636
SPX500,20230103,1400,3860.80,3878.10,3830.10,3830.60,6104
SPX500,20230103,1500,3830.60,3839.10,3814.30,3835.10,6533
SPX500,20230103,1600,3835.40,3837.90,3801.10,3805.40,5691
SPX500,20230103,1700,3804.60,3814.60,3792.60,3800.60,4138
SPX500,20230103,1800,3800.40,3814.40,3798.10,3812.90,4002
SPX500,20230103,1900,3813.10,3822.10,3795.40,3815.10,4874
SPX500,20230103,2000,3815.40,3827.10,3813.10,3823.10,5012
SPX500,20230103,2100,3823.40,3823.60,3816.10,3821.40,886
SPX500,20230103,2300,3820.30,3822.90,3817.40,3822.70,812
SPX500,20230104,0000,3822.20,3826.20,3820.90,3822.40,1120
SPX500,20230104,0100,3822.20,3831.40,3821.90,3829.90,954
SPX500,20230104,0200,3830.40,3831.40,3823.20,3823.40,581
SPX500,20230104,0300,3823.20,3828.70,3822.70,3826.40,671
SPX500,20230104,0400,3826.70,3830.90,3825.90,3830.90,534
SPX500,20230104,0500,3831.40,3832.20,3826.90,3829.90,592
