<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AUDJPY,20151231,2100,87.617,87.655,87.558,87.604,55000000
AUDJPY,20160103,2200,87.552,87.763,87.541,87.749,4138020000
AUDJPY,20160103,2300,87.746,87.831,87.593,87.640,5174930000
AUDJPY,20160104,0000,87.640,87.716,87.525,87.580,5041540000
AUDJPY,20160104,0100,87.580,87.604,86.678,86.704,8647210000
AUDJPY,20160104,0200,86.704,86.712,86.303,86.603,9082160000
AUDJPY,20160104,0300,86.603,86.659,86.495,86.518,5309640000
AUDJPY,20160104,0400,86.518,86.582,86.355,86.370,5983810000
AUDJPY,20160104,0500,86.368,86.395,86.026,86.147,7016980000
AUDJPY,20160104,0600,86.146,86.180,85.974,86.063,5226010000
AUDJPY,20160104,0700,86.067,86.094,85.776,85.863,8248810000
AUDJPY,20160104,0800,85.863,86.057,85.600,85.900,10501670000
AUDJPY,20160104,0900,85.900,85.921,85.772,85.775,6621560000
AUDJPY,20160104,1000,85.778,85.942,85.736,85.826,6492830000
AUDJPY,20160104,1100,85.827,85.845,85.531,85.575,6692290000
AUDJPY,20160104,1200,85.575,85.744,85.483,85.678,6856500000
AUDJPY,20160104,1300,85.676,85.774,85.594,85.708,7796280000
AUDJPY,20160104,1400,85.707,85.738,85.473,85.565,8404250000
AUDJPY,20160104,1500,85.564,85.667,85.422,85.476,9901080000
AUDJPY,20160104,1600,85.484,85.589,85.335,85.489,8604130000
AUDJPY,20160104,1700,85.487,85.719,85.463,85.703,5005470000
AUDJPY,20160104,1800,85.702,85.801,85.652,85.743,5083430000
AUDJPY,20160104,1900,85.743,85.746,85.650,85.682,4917010000
AUDJPY,20160104,2000,85.686,85.854,85.677,85.850,4341260000
AUDJPY,20160104,2100,85.852,85.943,85.818,85.872,2012750000
AUDJPY,20160104,2200,85.872,85.889,85.627,85.656,4678560000
AUDJPY,20160104,2300,85.662,85.826,85.645,85.818,3908960000
AUDJPY,20160105,0000,85.817,85.869,85.635,85.636,5554490000
AUDJPY,20160105,0100,85.637,86.246,85.618,86.217,8707590000
AUDJPY,20160105,0200,86.235,86.251,86.085,86.227,5986540000
AUDJPY,20160105,0300,86.227,86.345,86.033,86.048,4664630000
AUDJPY,20160105,0400,86.051,86.204,85.997,86.182,4669800000
AUDJPY,20160105,0500,86.180,86.207,85.847,85.974,5971820000
AUDJPY,20160105,0600,85.974,86.136,85.783,86.061,6163810000
AUDJPY,20160105,0700,86.061,86.172,86.019,86.066,7315600000
AUDJPY,20160105,0800,86.065,86.083,85.646,85.652,9737600000
AUDJPY,20160105,0900,85.653,85.677,85.367,85.429,8711060000
AUDJPY,20160105,1000,85.429,85.446,85.191,85.411,10430240000
AUDJPY,20160105,1100,85.406,85.435,85.227,85.308,6668410000
AUDJPY,20160105,1200,85.308,85.352,85.155,85.215,8380460000
AUDJPY,20160105,1300,85.214,85.472,85.186,85.433,9080450000
AUDJPY,20160105,1400,85.429,85.433,85.190,85.197,11349350000
AUDJPY,20160105,1500,85.198,85.201,84.903,84.988,12000070000
AUDJPY,20160105,1600,84.990,85.099,84.931,85.040,9220500000
AUDJPY,20160105,1700,85.041,85.048,84.886,85.037,5404930000
AUDJPY,20160105,1800,85.036,85.091,84.909,85.071,4532280000
AUDJPY,20160105,1900,85.070,85.158,85.049,85.092,4021750000
AUDJPY,20160105,2000,85.094,85.270,85.058,85.259,4955520000
AUDJPY,20160105,2100,85.258,85.315,85.209,85.236,3241540000
AUDJPY,20160105,2200,85.237,85.308,85.234,85.289,6339380000
AUDJPY,20160105,2300,85.289,85.387,85.277,85.278,4344660000
AUDJPY,20160106,0000,85.278,85.402,85.252,85.336,5941340000
AUDJPY,20160106,0100,85.339,85.353,84.418,84.498,14262170000
AUDJPY,20160106,0200,84.498,84.526,84.181,84.238,11109090000
AUDJPY,20160106,0300,84.238,84.627,84.183,84.569,9339620000
AUDJPY,20160106,0400,84.569,84.728,84.521,84.582,6291760000
AUDJPY,20160106,0500,84.581,84.681,84.444,84.550,7035890000
AUDJPY,20160106,0600,84.552,84.558,84.251,84.321,7979620000
AUDJPY,20160106,0700,84.321,84.419,84.233,84.403,8060580000
AUDJPY,20160106,0800,84.403,84.419,83.810,84.000,10704230000
AUDJPY,20160106,0900,84.001,84.026,83.571,83.842,9485260000
AUDJPY,20160106,1000,83.846,83.861,83.603,83.671,8212130000
AUDJPY,20160106,1100,83.671,83.858,83.582,83.846,8841480000
AUDJPY,20160106,1200,83.846,83.942,83.679,83.712,8066380000
AUDJPY,20160106,1300,83.712,84.088,83.647,84.070,11232440000
AUDJPY,20160106,1400,84.068,84.185,83.931,84.076,10788680000
AUDJPY,20160106,1500,84.074,84.151,83.767,83.784,11378320000
AUDJPY,20160106,1600,83.780,83.964,83.776,83.798,7958640000
AUDJPY,20160106,1700,83.796,83.808,83.619,83.692,4871670000
AUDJPY,20160106,1800,83.694,83.694,83.604,83.637,4451510000
AUDJPY,20160106,1900,83.635,83.873,83.552,83.556,10713060000
AUDJPY,20160106,2000,83.553,83.742,83.548,83.710,6387100000
AUDJPY,20160106,2100,83.710,83.806,83.671,83.771,3185060000
AUDJPY,20160106,2200,83.760,83.788,83.676,83.691,2721250000
AUDJPY,20160106,2300,83.691,84.002,83.678,83.963,3688070000
AUDJPY,20160107,0000,83.963,84.052,83.846,83.914,6893740000
AUDJPY,20160107,0100,83.914,84.122,82.653,82.846,16449130000
AUDJPY,20160107,0200,82.854,83.176,82.797,83.023,12490760000
AUDJPY,20160107,0300,83.023,83.304,82.972,83.290,8592060000
AUDJPY,20160107,0400,83.289,83.393,83.051,83.055,6443390000
AUDJPY,20160107,0500,83.055,83.163,82.913,82.983,6060140000
AUDJPY,20160107,0600,82.990,83.167,82.795,83.160,7410160000
AUDJPY,20160107,0700,83.159,83.388,82.940,83.159,10826190000
